103	CONTRASTE MIELOGRAFIA - 21-30KG	306.13	true	false	
104	CONTRASTE MIELOGRAFIA - ACIMA DE 30KG	402.14	true	false	
105	CONTRASTE MIELOGRAFIA - ATE 10KG	153.07	true	false	
106	CONTRASTE UROGRAFIA - 11-20KG	178.11	true	false	
107	CONTRASTE UROGRAFIA - 21-30KG	306.13	true	false	
108	CONTRASTE UROGRAFIA - ACIMA DE 30KG	402.14	true	false	
109	CONTRASTE UROGRAFIA - ATE 10KG	153.07	true	false	
110	DEXAMETASONA (BIODEX) - 11-20KG	44.53	true	false	
111	DEXAMETASONA (BIODEX) - 11-20KG (PLANTAO)	55.66	true	false	
112	DEXAMETASONA (BIODEX) - 21-30KG	51.49	true	false	
113	DEXAMETASONA (BIODEX) - 21-30KG (PLANTAO)	65.4	true	false	
114	DEXAMETASONA (BIODEX) - 31-40KG	62.62	true	false	
115	DEXAMETASONA (BIODEX) - 31-40KG (PLANTAO)	76.53	true	false	
116	DEXAMETASONA (BIODEX) - ACIMA DE 40KG	68.18	true	false	
117	DEXAMETASONA (BIODEX) - ACIMA DE 40KG (PLANTAO)	86.27	true	false	
118	DEXAMETASONA (BIODEX) - ATE 10KG	37.57	true	false	
119	DEXAMETASONA (BIODEX) - ATE 10KG (PLANTAO)	44.53	true	false	
122	DIPIRONA - 11-20KG	44.53	true	false	
123	DIPIRONA - 11-20KG (PLANTAO)	55.66	true	false	
124	DIPIRONA - 21-30KG	51.49	true	false	
125	DIPIRONA - 21-30KG (PLANTAO)	65.4	true	false	
126	DIPIRONA - ACIMA DE 30KG	58.44	true	false	
127	DIPIRONA - ACIMA DE 30KG (PLANTAO)	75.14	true	false	
128	DIPIRONA - ATE 10KG	37.57	true	false	
129	DIPIRONA - ATE 10KG (PLANTAO)	44.53	true	false	
131	DOXICICLINA - 11 A 20 KG	51.75	true	false	
132	DOXICICLINA - 11 A 20KG (PLANTAO)	63.25	true	false	
133	DOXICICLINA - 21 A 30KG	63.25	true	false	
134	DOXICICLINA - 21 A 30KG (PLANTAO)	74.75	true	false	
136	DOXICICLINA - ACIMA DE 30KG	83.95	true	false	
137	DOXICICLINA - ATE 10KG	44.85	true	false	
138	DOXICICLINA - ATE 10KG (PLANTAO)	56.35	true	false	
139	ENROFLOXACINA - 11 A 20 KG	44.53	true	false	
140	ENROFLOXACINA - 11 A 20 KG (PLANTÃO)	55.66	true	false	
141	ENROFLOXACINA - 21 A 30 KG	51.49	true	false	
142	ENROFLOXACINA - 21 A 30 KG (PLANTÃO)	65.4	true	false	
143	ENROFLOXACINA - 31 A 40 KG	62.62	true	false	
144	ENROFLOXACINA - 31 A 40 KG (PLANTÃO)	76.53	true	false	
147	ENROFLOXACINA - ATÉ 10 KG	37.57	true	false	
148	ENROFLOXACINA - ATÉ 10 KG (PLANTÃO)	44.53	true	false	
157	GANASEG / BEROSEG - 11-20KG	44.53	true	false	
158	GANASEG / BEROSEG - 11-20KG (PLANTAO)	55.66	true	false	
159	GANASEG / BEROSEG - 21-30KG	51.49	true	false	
160	GANASEG / BEROSEG - 21-30KG (PLANTAO)	65.4	true	false	
161	GANASEG / BEROSEG - ACIMA DE 30KG (PLANTAO)	75.14	true	false	
163	GANASEG / BEROSEG - ATE 10KG	37.57	true	false	
164	GANASEG / BEROSEG - ATE 10KG (PLANTAO)	44.53	true	false	
171	HIDROXIDO DE ALUMINIO - 11-20 KG	13.8	true	false	
172	HIDROXIDO DE ALUMINIO - 11-20 KG (PLANTAO)	16.1	true	false	
173	HIDROXIDO DE ALUMINIO - 21-30 KG	16.1	true	false	
174	HIDROXIDO DE ALUMINIO - 21-30 KG (PLANTAO)	18.4	true	false	
175	HIDROXIDO DE ALUMINIO - 31-40 KG	18.4	true	false	
176	HIDROXIDO DE ALUMINIO - 31-40 KG (PLANTAO)	20.7	true	false	
177	HIDROXIDO DE ALUMINIO - ATE 10 KG	11.5	true	false	
178	HIDROXIDO DE ALUMINIO - ATE 10 KG (PLANTAO)	13.8	true	false	
182	IVERMECTINA - 11-20KG	44.53	true	false	
183	IVERMECTINA - 11-20KG (PLANTAO)	55.66	true	false	
184	IVERMECTINA - 21-30KG	51.49	true	false	
185	IVERMECTINA - 21-30KG (PLANTAO)	65.4	true	false	
186	IVERMECTINA - ACIMA DE 30KG	58.44	true	false	
187	IVERMECTINA - ACIMA DE 30KG (PLANTAO)	75.14	true	false	
188	IVERMECTINA - ATE 10KG	37.57	true	false	
189	IVERMECTINA - ATE 10KG (PLANTAO)	44.53	true	false	
190	LACTULOSE (LACTULONA) - 11-20 KG	13.8	true	false	
192	LACTULOSE (LACTULONA) - 21-30 KG	16.1	true	false	
193	LACTULOSE (LACTULONA) - 21-30 KG (PLANTAO)	18.4	true	false	
194	LACTULOSE (LACTULONA) - 31-40 KG	18.4	true	false	
195	LACTULOSE (LACTULONA) - 31-40 KG (PLANTAO)	20.7	true	false	
196	LACTULOSE (LACTULONA) - ATE 10 KG (PLANTAO)	13.8	true	false	
197	LACTULOSE (LACTULONA) - ATE 10KG	11.5	true	false	
202	MELOXICAM (MAXICAN / ELO-XICAN) - 11-20KG	51.49	true	false	
203	MELOXICAM (MAXICAN / ELO-XICAN) - 11-20KG (PLANTAO)	65.4	true	false	
204	MELOXICAM (MAXICAN / ELO-XICAN) - 21-30KG	62.62	true	false	
205	MELOXICAM (MAXICAN / ELO-XICAN) - 21-30KG (PLANTAO)	76.53	true	false	
207	MELOXICAM (MAXICAN / ELO-XICAN) - ACIMA DE 30KG (PLANTAO)	104.36	true	false	
208	MELOXICAM (MAXICAN / ELO-XICAN) - ATE 10KG	44.53	true	false	
209	MELOXICAM (MAXICAN / ELO-XICAN) - ATE 10KG (PLANTAO)	55.66	true	false	
214	METILPREDNISOLONA (CORTI-DURAL) - 11-20KG	58.44	true	false	
215	METILPREDNISOLONA (CORTI-DURAL) - 11-20KG (PLANTAO)	70.97	true	false	
216	METILPREDNISOLONA (CORTI-DURAL) - 21-30KG	69.58	true	false	
217	METILPREDNISOLONA (CORTI-DURAL) - 21-30KG (PLANTAO)	86.27	true	false	
218	METILPREDNISOLONA (CORTI-DURAL) - 31-40KG	83.49	true	false	
219	METILPREDNISOLONA (CORTI-DURAL) - 31-40KG (PLANTAO)	104.36	true	false	
220	METILPREDNISOLONA (CORTI-DURAL) - ACIMA DE 40KG	102.97	true	false	
221	METILPREDNISOLONA (CORTI-DURAL) - ACIMA DE 40KG (PLANTAO)	123.84	true	false	
222	METILPREDNISOLONA (CORTI-DURAL) - ATE 10KG	51.49	true	false	
223	METILPREDNISOLONA (CORTI-DURAL) - ATE 10KG (PLANTAO)	62.62	true	false	
224	METRONIDAZOL - 11 A 20KG	51.49	true	false	
225	METRONIDAZOL - 11 A 20KG (PLANTAO)	65.4	true	false	
226	METRONIDAZOL - 21 A 30KG	69.58	true	false	
227	METRONIDAZOL - 21 A 30KG (PLANTAO)	86.27	true	false	
228	METRONIDAZOL - ACIMA DE 30KG	121.06	true	false	
229	METRONIDAZOL - ACIMA DE 30KG (PLANTAO)	151.67	true	false	
230	METRONIDAZOL - ATE 10 KG	44.53	true	false	
231	METRONIDAZOL - ATE 10 KG (PLANTAO)	55.66	true	false	
242	OCITOCINA - 11-20KG	44.53	true	false	
243	OCITOCINA - 11-20KG (PLANTAO)	55.66	true	false	
244	OCITOCINA - 21-30 KG (PLANTAO)	65.4	true	false	
245	OCITOCINA - 21-30KG	51.49	true	false	
246	OCITOCINA - ACIMA DE 30KG	61.23	true	false	
247	OCITOCINA - ACIMA DE 30KG (PLANTAO)	76.53	true	false	
248	OCITOCINA - ATE 10KG	37.57	true	false	
249	OCITOCINA - ATE 10KG (PLANTAO)	44.53	true	false	
250	OMEPRAZOL - 11-20KG	103.5	true	false	
251	OMEPRAZOL - 11-20KG (PLANTAO)	128.8	true	false	
252	OMEPRAZOL - 21-30KG	108.1	true	false	
253	OMEPRAZOL - 21-30KG (PLANTAO)	135.7	true	false	
254	OMEPRAZOL - 31-40KG	132.25	true	false	
255	OMEPRAZOL - 31-40KG (PLANTAO)	169.05	true	false	
258	OMEPRAZOL - ATE 10KG	94.3	true	false	
259	OMEPRAZOL - ATE 10KG (PLANTAO)	119.6	true	false	
260	ONDANSETRONA - 11-20KG	44.53	true	false	
261	ONDANSETRONA - 11-20KG (PLANTAO)	55.66	true	false	
262	ONDANSETRONA - 21-30KG	51.49	true	false	
263	ONDANSETRONA - 21-30KG (PLANTAO)	65.4	true	false	
264	ONDANSETRONA - ACIMA DE 30 KG	61.23	true	false	
265	ONDANSETRONA - ACIMA DE 30 KG (PLANTAO)	76.53	true	false	
266	ONDANSETRONA - ATE 10 KG	37.57	true	false	
267	ONDANSETRONA - ATE 10 KG (PLANTAO)	44.53	true	false	
270	OXITETRACICLINA (TERRAMICINA) - 11-20KG	44.53	true	false	
271	OXITETRACICLINA (TERRAMICINA) - 11-20KG (PLANTAO)	55.66	true	false	
272	OXITETRACICLINA (TERRAMICINA) - 21-30KG	51.49	true	false	
273	OXITETRACICLINA (TERRAMICINA) - 21-30KG (PLANTAO)	65.4	true	false	
274	OXITETRACICLINA (TERRAMICINA) - ACIMA DE 30KG	61.23	true	false	
275	OXITETRACICLINA (TERRAMICINA) - ACIMA DE 30KG (PLANTAO)	76.53	true	false	
276	OXITETRACICLINA (TERRAMICINA) - ATE 10KG	37.57	true	false	
277	OXITETRACICLINA (TERRAMICINA) - ATE 10KG (PLANTAO)	44.53	true	false	
280	SIMETICONA - 11-20 KG	17.25	true	false	
281	SIMETICONA - 11-20 KG (PLANTAO)	19.55	true	false	
282	SIMETICONA - 21-30 KG	20.7	true	false	
283	SIMETICONA - 21-30 KG (PLANTAO)	23	true	false	
284	SIMETICONA - 31-40 KG	24.15	true	false	
285	SIMETICONA - 31-40 KG (PLANTAO)	26.45	true	false	
286	SIMETICONA - ATE 10 KG (PLANTAO)	16.1	true	false	
287	SIMETICONA - ATE 10KG	13.8	true	false	
291	SULFA + TRIMETROPRIM (BORGAL) - 11 A 20KG	44.53	true	false	
292	SULFA + TRIMETROPRIM (BORGAL) - 11 A 20KG (PLANTAO)	55.66	true	false	
293	SULFA + TRIMETROPRIM (BORGAL) - 21 A 30KG	51.49	true	false	
294	SULFA + TRIMETROPRIM (BORGAL) - 21 A 30KG (PLANTAO)	65.4	true	false	
295	SULFA + TRIMETROPRIM (BORGAL) - 31 A 40KG	61.23	true	false	
296	SULFA + TRIMETROPRIM (BORGAL) - 31 A 40KG (PLANTAO)	76.53	true	false	
297	SULFA + TRIMETROPRIM (BORGAL) - ACIMA DE 40KG	68.18	true	false	
298	SULFA + TRIMETROPRIM (BORGAL) - ACIMA DE 40KG (PLANTAO)	86.27	true	false	
299	SULFA + TRIMETROPRIM (BORGAL) - ATE 10KG	37.57	true	false	
300	SULFA + TRIMETROPRIM (BORGAL) - ATE 10KG (PLANTAO)	44.53	true	false	
308	VITAMINA K - 11-20KG	44.53	true	false	
309	VITAMINA K - 11-20KG (PLANTAO)	55.66	true	false	
310	VITAMINA K - 21-30KG	51.49	true	false	
311	VITAMINA K - 21-30KG (PLANTAO)	65.4	true	false	
312	VITAMINA K - ACIMA DE 30KG	61.23	true	false	
313	VITAMINA K - ACIMA DE 30KG (PLANTAO)	76.53	true	false	
314	VITAMINA K - ATE 10 KG (PLANTAO)	44.53	true	false	
315	VITAMINA K - ATE 10KG	37.57	true	false	
618	PL - Artrosan 0 a 10K	320	true	false	
619	PL - Artrosan 11 a 20K	480	true	false	
620	Pl - Artrosan 21 a 30K	680	true	false	
621	Pl - Artrosan 31 a 40K	800	true	false	
622	Pl - Artrosan 41 a 50K	960	true	false	
626	Sedação - Grande Porte (20 a 40 k)	0	true	false	
628	Sedação - Pequeno Porte (até 10kg)	0	true	false	
639	Tartarectomia até 10K	620	true	false	
681	Fluidoterapia 10 a 20K	45	true	false	
693	Fluidoterapia 20 a 30K	50	true	false	
694	Fluidoterapia 30 a 40K	55	true	false	
695	Fluidoterapia até 10K	40	true	false	
696	Tartarectomia até 5K	360	true	false	
